rank,Steam ID,last Two Weeks,ATH,scoreSum,status_U_Count,Level,Badges,Games,Friends,Groups,Screenshots,Reviews,Cluster
86,76561198453059524,2.97,123.45,1.0,0,16,4,45,1,0,0,1,0
86,76561198064547985,8.75,92.5,0.93,0.25,46,50,381,288,1,0,29,0
86,76561198349825657,6.6,227.27,0.79,0.33,15,12,62,21,1,7,8,0
86,76561198045229696,1.83,41.39,1.0,0.26,28,34,396,42,11,80,14,0
86,76561198127946239,1.67,62.12,0.69,0.27,41,27,154,64,5,15,15,0
86,76561198136982863,13.92,330.07,0.4,0,12,10,184,10,3,4,22,0
86,76561198192520231,1.9,59.15,0.32,0,7,3,57,33,1,1,8,0
86,76561197984574296,4.35,139.13,0.32,0.32,11,6,38,1,0,4,11,0
86,76561198204900151,4.4,41.33,0.23,0.1,47,15,181,0,1,55,52,0
86,76561198289975527,1.63,60.4,0.22,0.05,8,4,93,8,0,3,4,0
86,76561198059954196,3.35,34.14,0.58,0,14,13,341,62,2,10,7,0
86,76561199009194956,6.98,50.05,0.27,0.18,30,19,37,0,1,0,1,0
86,76561197968665401,1.08,91.99,0.35,0.04,50,89,706,0,11,197,7,0
86,76561198981191084,5.0,56.4,0.13,0.31,45,15,82,67,4,4,20,0
86,76561198049977447,1.52,105.02,0.28,0,19,21,253,45,3,3,20,0
86,76561198395143852,17.38,109.92,0.65,0.17,8,6,88,0,0,0,13,0
86,76561199023880505,2.52,359.2,1.0,0.07,5,3,87,8,0,0,2,0
86,76561198980788499,14.82,111.42,0.79,0.17,11,7,16,37,1,4,10,0
86,76561197994988686,13.18,41.01,0.41,0.04,19,11,223,43,7,1,4,0
86,76561198098765245,1.45,46.12,0.23,0,22,22,94,20,0,35,18,0
86,76561197970322928,7.52,175.58,0.96,0.04,26,26,518,25,4,25,22,0
86,76561198044514532,5.4,135.1,0.56,0.03,11,5,168,29,2,1,1,0
86,76561197995930762,11.98,71.8,0.59,0.03,11,4,212,38,7,0,11,0
86,76561198159292241,2.47,200.17,0.54,0.03,33,40,59,18,10,70,15,0
86,76561198882341795,15.92,132.58,0.59,0,4,3,10,0,0,0,3,0
86,76561198176546571,10.5,49.58,0.22,0.52,10,11,52,13,0,0,9,0
86,76561199050071548,47.63,320.92,0.39,0.07,20,23,24,14,1,8,1,0
86,76561198042151421,1.77,47.16,0.75,0.18,11,5,132,41,1,8,3,0
86,76561197973182789,19.57,42.34,0.35,0.46,52,10,104,136,154,595,9,-1
86,76561198112952608,1.35,168.63,0.22,0.05,10,4,93,3,0,0,1,0
86,76561198136818252,11.73,28.55,1.0,0.02,16,11,182,40,0,17,11,0
86,76561198031196524,2.22,23.97,0.59,0.21,12,7,122,35,6,1,1,0
86,76561198263681228,8.63,45.18,0.76,0.15,27,6,128,63,2,1,4,0
86,76561199302590248,1.4,47.32,0.27,0.52,21,19,116,4,1,0,1,0
86,76561198060670576,52.52,157.77,0.6,0,11,6,70,68,24,5,6,0
86,76561198170207349,1.05,212.88,0.15,0,15,8,48,20,0,0,4,0
86,76561198001713984,1.5,140.34,1.0,0,18,11,258,24,0,0,4,0
86,76561198964663351,14.8,53.77,0.22,0.1,31,11,67,0,0,2,3,0
86,76561198154227171,17.12,417.9,1.0,0.02,8,4,111,9,0,0,4,0
86,76561198293818971,25.15,55.88,0.4,0.5,20,15,222,130,3,23,20,0
86,76561198067011003,19.97,73.03,0.72,0.03,34,40,178,0,3,75,21,0
86,76561198128504663,6.73,62.5,0.17,0.53,39,11,93,281,13,37,5,0
86,76561198025695199,4.17,106.67,0.37,0.07,55,48,235,137,22,156,26,0
86,76561198051870295,10.02,67.7,0.33,0,9,3,57,12,0,0,2,0
86,76561198429553277,7.87,137.63,0.53,0.41,83,54,161,69,5,290,10,0
86,76561198121545134,20.8,191.18,0.66,0,14,8,179,58,3,0,17,0
86,76561198406246981,6.92,55.97,0.93,0.02,19,12,69,143,1,37,9,0
86,76561198317416047,3.68,92.74,1.0,0.02,16,11,86,6,0,0,4,0
86,76561198022244081,15.52,36.76,1.0,0.5,10,4,82,6,0,0,4,0
86,76561198202182056,3.73,28.83,0.14,0,17,9,178,4,0,0,19,0
86,76561199233202281,1.17,42.7,0.14,0.12,16,13,48,7,1,6,16,0
86,76561198035925919,1.15,59.84,1.0,0.17,15,11,230,32,0,21,4,0
86,76561198011798942,155.2,241.52,0.35,0.08,11,4,272,0,2,1,14,0
86,76561198010489964,16.85,277.81,0.35,0.12,12,4,67,5,0,0,3,0
86,76561198258402457,1.92,28.48,0.46,0.1,20,16,86,12,0,3,6,0
86,76561198026278205,2.78,64.28,0.16,0.06,12,8,198,45,2,0,16,0
86,76561198076326716,39.28,204.9,0.93,0,98,11,320,79,2,1,9,0
86,76561198044130442,1.73,95.8,1.0,0.07,46,33,165,0,14,5,7,0
86,76561198345562649,6.13,32.75,0.16,0.12,18,11,77,37,3,94,33,0
